engine_id,engine_name,sfoc 0,sfoc 1,sfoc 2,BHP 0,BHP 1,BHP 2,max rpm,max load
1,A,190.6,-73.9333,49.33333,53.3333333,35466.67,0,80,35520
2,B,191.6,-73.9333,49.33333,-71.66666,23591.67,0,95,23520
3,C,192.6,-73.9333,49.33333,50.76923,19869.23,0,105,19920
4,D,205.06,-86.86,55,13682.77,-55450.1,68883.09,74,27160
