scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,783,434283953.889,00:01:09
0,1,1,804,434276496.616,00:02:18
0,1,1,839,434420458.096,00:03:28
0,1,1,825,434390211.626,00:04:38
0,1,1,699,431976329.417,00:05:39
0,1,1,546,433402410.505,00:06:37
0,1,1,560,433402410.505,00:07:34
0,1,1,679,434178971.119,00:08:39
0,1,1,769,433402410.505,00:09:40
0,1,1,644,434282824.667,00:10:46
0,1,1,658,434282824.667,00:11:51
0,1,1,672,434252186.705,00:12:56
0,1,1,748,433538810.455,00:13:57
0,1,1,720,431994219.193,00:14:57
0,1,1,727,433592908.228,00:15:57
1,1,1,783,283848016.303,00:17:09
1,1,1,804,283848016.303,00:18:20
1,1,1,839,283762951.652,00:19:32
1,1,1,825,283749813.077,00:20:43
1,1,1,699,283503073.143,00:21:47
1,1,1,546,282842370.601,00:22:47
1,1,1,560,282842370.601,00:23:47
1,1,1,679,283272610.706,00:24:54
1,1,1,769,282842370.601,00:25:57
1,1,1,644,283408673.406,00:27:05
1,1,1,658,283408673.406,00:28:12
1,1,1,672,283385148.248,00:29:20
1,1,1,748,283396195.115,00:30:22
1,1,1,720,283468749.625,00:31:25
1,1,1,727,283468749.625,00:32:28
2,1,1,783,242060143.76,00:33:39
2,1,1,804,242060143.76,00:34:50
2,1,1,839,241965136.647,00:36:01
2,1,1,825,241934775.235,00:37:12
2,1,1,699,241566546.865,00:38:14
2,1,1,546,242143544.286,00:39:14
2,1,1,560,242143544.286,00:40:14
2,1,1,679,244364874.554,00:41:20
2,1,1,769,242143544.286,00:42:24
2,1,1,644,244452324.151,00:43:31
2,1,1,658,244452324.151,00:44:38
2,1,1,672,244430167.629,00:45:45
2,1,1,748,241691745.636,00:46:47
2,1,1,720,241566546.865,00:47:49
2,1,1,727,241566546.865,00:48:51
3,1,1,783,184534830.735,00:50:03
3,1,1,804,184534830.735,00:51:15
3,1,1,839,184517512.201,00:52:29
3,1,1,825,184517512.201,00:53:44
3,1,1,699,180029020.941,00:54:49
3,1,1,546,181283773.563,00:55:49
3,1,1,560,181283773.563,00:56:50
3,1,1,679,183778851.894,00:58:00
3,1,1,769,181283773.563,00:59:04
3,1,1,644,183738082.774,01:00:14
3,1,1,658,183738082.774,01:01:24
3,1,1,672,183584487.512,01:02:33
