scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,454,433709318.679,00:00:56
0,1,1,495,433590114.329,00:01:55
0,1,1,447,433920244.515,00:02:52
0,1,1,836,433885103.101,00:03:48
0,1,1,662,421480935.949,00:04:49
0,1,1,690,433766811.669,00:05:49
0,1,1,280,426687999.907,00:06:49
0,1,1,273,426702267.163,00:07:50
0,1,1,502,433453721.876,00:08:48
0,1,1,509,433453721.876,00:09:46
0,1,2,303,399145188.562,00:11:29
0,1,2,296,402604017.709,00:13:12
0,1,2,226,399344926.912,00:14:48
0,1,2,79,399536405.199,00:16:20
1,1,1,454,278807255.903,00:17:19
1,1,1,495,278131274.092,00:18:19
1,1,1,447,278691767.717,00:19:17
1,1,1,836,278691767.717,00:20:15
1,1,1,662,278638488.697,00:21:18
1,1,1,690,278142347.764,00:22:19
1,1,1,280,278468821.503,00:23:22
1,1,1,273,278454657.588,00:24:24
1,1,1,502,278000655.306,00:25:23
1,1,1,509,278000655.306,00:26:23
1,1,2,303,268792582.822,00:28:07
1,1,2,296,263570573.183,00:29:50
1,1,2,226,268717672.504,00:31:28
1,1,2,79,268515485.895,00:33:02
2,1,1,454,238275029.132,00:34:02
2,1,1,495,237669058.096,00:35:03
2,1,1,447,238057552.592,00:36:03
2,1,1,836,238057552.592,00:37:03
2,1,1,662,237897920.834,00:38:07
2,1,1,690,237934145.215,00:39:09
2,1,1,280,238002047.116,00:40:13
2,1,1,273,237923641.125,00:41:16
2,1,1,502,237582470.132,00:42:16
2,1,1,509,237582470.132,00:43:18
2,1,2,303,229977443.972,00:45:02
2,1,2,296,229768635.312,00:46:45
2,1,2,226,229684105.641,00:48:23
2,1,2,79,229271963.079,00:49:56
3,1,1,454,178959350.182,00:50:59
3,1,1,495,178723919.62,00:52:02
3,1,1,447,178834506.647,00:53:04
3,1,1,836,178834506.647,00:54:05
3,1,1,662,178887347.754,00:55:11
3,1,1,690,178810127.298,00:56:14
3,1,1,280,178319502.446,00:57:17
3,1,1,273,178319502.446,00:58:21
3,1,1,502,178314263.327,00:59:22
3,1,1,509,178314263.327,01:00:25
3,1,2,303,174108012.583,01:02:10
3,1,2,296,173849260.886,01:03:55
3,1,2,226,173521772.418,01:05:33
3,1,2,79,173486922.438,01:07:09
4,1,1,454,197849013.288,01:08:10
4,1,1,495,197701569.479,01:09:12
4,1,1,447,197767409.273,01:10:12
4,1,1,836,197767409.273,01:11:12
4,1,1,662,197726740.828,01:12:18
4,1,1,690,197634748.885,01:13:20
4,1,1,280,197458372.887,01:14:23
4,1,1,273,197388031.246,01:15:25
4,1,1,502,197388031.246,01:16:26
4,1,1,509,197388031.246,01:17:27
4,1,2,303,195474883.619,01:19:12
4,1,2,296,195331162.989,01:20:56
4,1,2,226,194897969.4,01:22:34
4,1,2,79,194307559.658,01:24:09
5,1,1,454,208943969.893,01:25:10
5,1,1,495,208927168.722,01:26:14
5,1,1,447,208964487.634,01:27:15
5,1,1,836,208964487.634,01:28:16
5,1,1,662,208983249.567,01:29:22
5,1,1,690,209268832.389,01:30:25
5,1,1,280,209089400.133,01:31:28
5,1,1,273,209060154.557,01:32:31
5,1,1,502,208930980.744,01:33:32
5,1,1,509,208930980.744,01:34:33
5,1,2,303,200350829.403,01:36:18
5,1,2,296,200696133.17,01:38:03
5,1,2,226,200752118.869,01:39:40
5,1,2,79,200799409.801,01:41:15
6,1,1,454,194679129.05,01:42:16
6,1,1,495,194666257.753,01:43:19
6,1,1,447,194548218.131,01:44:19
6,1,1,836,194548218.131,01:45:19
6,1,1,662,194592688.432,01:46:24
6,1,1,690,194221430.951,01:47:27
6,1,1,280,194335100.539,01:48:31
6,1,1,273,194230763.441,01:49:34
6,1,1,502,194126300.833,01:50:34
6,1,1,509,194126300.833,01:51:36
6,1,2,303,189900378.904,01:53:20
6,1,2,296,190160924.41,01:55:05
6,1,2,226,188893565.975,01:56:43
6,1,2,79,188066044.443,01:58:19
7,1,1,454,184324506.33,01:59:22
7,1,1,495,183991346.196,02:00:25
7,1,1,447,184192120.498,02:01:28
7,1,1,836,184192120.498,02:02:30
7,1,1,662,184150572.223,02:03:38
7,1,1,690,184429955.353,02:04:41
7,1,1,280,184443019.907,02:05:45
7,1,1,273,184443019.907,02:06:49
7,1,1,502,184399336.279,02:07:50
7,1,1,509,184399336.279,02:08:52
7,1,2,303,179289514.482,02:10:38
7,1,2,296,179167245.077,02:12:23
7,1,2,226,178836438.904,02:14:02
7,1,2,79,178735552.421,02:15:37
8,1,1,454,153108090.62,02:16:40
8,1,1,495,153421902.577,02:17:46
8,1,1,447,153056836.204,02:18:49
8,1,1,836,153045709.94,02:19:52
8,1,1,662,153108090.62,02:20:59
8,1,1,690,152595932.878,02:22:03
8,1,1,280,152893246.511,02:23:07
8,1,1,273,152893246.511,02:24:12
8,1,1,502,152893246.511,02:25:14
8,1,1,509,152890941.763,02:26:17
8,1,2,303,151590181.373,02:28:01
8,1,2,296,151550605.245,02:29:45
8,1,2,226,150663184.185,02:31:22
8,1,2,79,149703026.785,02:32:56
9,1,1,454,76963379.616,02:34:06
9,1,1,495,77154479.734,02:35:17
9,1,1,447,77142687.77,02:36:27
9,1,1,836,76945240.685,02:37:36
9,1,1,662,76963379.616,02:38:50
9,1,1,690,77185850.119,02:40:04
9,1,1,280,77210551.534,02:41:18
9,1,1,273,77185132.615,02:42:32
9,1,1,502,77185132.615,02:43:43
9,1,1,509,77280548.191,02:44:56
9,1,2,303,83870601.753,02:46:44
9,1,2,296,83778276.033,02:48:32
9,1,2,226,83281566.153,02:50:14
9,1,2,79,83603932.471,02:51:55
10,1,1,454,142502575.246,02:52:58
10,1,1,495,142728372.628,02:54:03
10,1,1,447,142476024.141,02:55:05
10,1,1,836,142456202.943,02:56:07
10,1,1,662,142502575.246,02:57:14
10,1,1,690,140000279.972,02:58:20
10,1,1,280,140074238.81,02:59:26
10,1,1,273,140074238.81,03:00:33
10,1,1,502,140074238.81,03:01:37
10,1,1,509,140068671.151,03:02:42
