scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,670,422941233.659,00:00:59
0,1,1,468,435162677.683,00:02:00
0,1,1,830,435463701.999,00:02:57
0,1,1,475,422725259.434,00:03:55
0,1,1,580,427024287.651,00:04:53
0,1,1,469,426100689.185,00:05:56
0,1,1,587,427024287.651,00:06:54
0,1,1,476,428875043.578,00:07:56
0,1,1,671,426726566.147,00:08:55
0,1,1,657,426762077.894,00:10:00
0,1,1,685,426752527.586,00:11:00
0,1,1,489,422633345.752,00:11:58
0,1,1,691,422678561.235,00:12:58
0,1,1,462,422793565.861,00:13:59
0,1,1,677,422917018.091,00:14:59
1,1,1,670,280337381.529,00:16:02
1,1,1,468,280622753.817,00:17:03
1,1,1,830,280270696.696,00:18:01
1,1,1,475,280594573.311,00:19:02
1,1,1,580,281064866.218,00:20:02
1,1,1,469,281965676.3,00:21:07
1,1,1,587,281064866.218,00:22:08
1,1,1,476,281965676.3,00:23:12
1,1,1,671,281949762.39,00:24:13
1,1,1,657,282049995.441,00:25:21
1,1,1,685,281965676.3,00:26:22
1,1,1,489,280488861.743,00:27:23
1,1,1,691,280483745.126,00:28:24
1,1,1,462,280594442.843,00:29:28
1,1,1,677,280309044.429,00:30:29
2,1,1,670,239013817.958,00:31:31
2,1,1,468,237911084.479,00:32:32
2,1,1,830,238629294.729,00:33:31
2,1,1,475,237887000.287,00:34:31
2,1,1,580,241211621.55,00:35:33
2,1,1,469,242020574.935,00:36:39
2,1,1,587,241211621.55,00:37:41
2,1,1,476,242020574.935,00:38:46
2,1,1,671,241988189.941,00:39:49
2,1,1,657,242191492.412,00:40:57
2,1,1,685,242020574.935,00:41:59
2,1,1,489,237783789.56,00:43:00
2,1,1,691,237728548.319,00:44:01
2,1,1,462,237887000.287,00:45:04
2,1,1,677,237887226.149,00:46:06
3,1,1,670,177957155.705,00:47:11
3,1,1,468,181193184.908,00:48:14
3,1,1,830,178089399.764,00:49:16
3,1,1,475,181023947.11,00:50:19
3,1,1,580,181511299.289,00:51:20
3,1,1,469,182061603.916,00:52:28
3,1,1,587,181511299.289,00:53:30
3,1,1,476,182061603.916,00:54:37
3,1,1,671,182061603.916,00:55:42
3,1,1,657,182002768.285,00:56:52
3,1,1,685,182061603.916,00:57:57
3,1,1,489,180904265.483,00:58:59
3,1,1,691,180904265.483,01:00:02
3,1,1,462,180796667.671,01:01:06
3,1,1,677,180796667.671,01:02:09
4,1,1,670,200459045.398,01:03:13
4,1,1,468,199787331.706,01:04:15
4,1,1,830,200396697.262,01:05:16
4,1,1,475,199746371.845,01:06:18
4,1,1,580,200769234.471,01:07:20
4,1,1,469,204444875.468,01:08:25
4,1,1,587,200769234.471,01:09:26
4,1,1,476,204444875.468,01:10:31
4,1,1,671,204439007.944,01:11:34
4,1,1,657,204508138.327,01:12:43
4,1,1,685,204444875.468,01:13:45
4,1,1,489,199551461.731,01:14:47
4,1,1,691,199551461.731,01:15:49
4,1,1,462,199567051.82,01:16:53
4,1,1,677,199567051.82,01:17:55
5,1,1,670,211895234.155,01:18:59
5,1,1,468,210873498.774,01:20:03
5,1,1,830,211906824.887,01:21:03
5,1,1,475,210846689.013,01:22:06
5,1,1,580,211309854.606,01:23:09
5,1,1,469,212152075.873,01:24:15
5,1,1,587,211309854.606,01:25:18
