scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,2,114,399532311.422,00:01:32
0,1,2,107,399532311.422,00:03:05
0,1,2,784,392326437.668,00:05:00
0,1,2,777,392354765.068,00:06:54
0,1,2,302,399550926.971,00:08:31
0,1,2,155,399788662.48,00:10:16
0,1,2,212,399344926.912,00:11:52
0,1,1,592,426276000.672,00:12:47
0,1,1,585,426279074.533,00:13:43
0,1,1,578,426279074.533,00:14:39
0,1,2,205,399382628.918,00:16:14
0,1,1,217,419403333.051,00:17:09
0,1,1,168,419850729.754,00:18:04
0,1,1,571,426374086.723,00:19:01
1,1,2,114,268515485.895,00:20:35
1,1,2,107,268515485.895,00:22:09
1,1,2,784,263739659.885,00:24:06
1,1,2,777,263739659.885,00:26:00
1,1,2,302,268507345.303,00:27:40
1,1,2,155,268367717.477,00:29:27
1,1,2,212,268717672.504,00:31:04
1,1,1,592,277537305.669,00:32:02
1,1,1,585,277513982.813,00:32:59
1,1,1,578,277513982.813,00:33:56
1,1,2,205,268698230.643,00:35:33
1,1,1,217,276704552.485,00:36:30
1,1,1,168,277521739.078,00:37:28
1,1,1,571,277658957.555,00:38:26
2,1,2,114,229271963.079,00:39:59
2,1,2,107,229271963.079,00:41:33
2,1,2,784,231814784.484,00:43:30
2,1,2,777,231814784.484,00:45:24
2,1,2,302,229155635.363,00:47:04
2,1,2,155,229017012.813,00:48:50
2,1,2,212,229762158.87,00:50:27
2,1,1,592,236966844.966,00:51:25
2,1,1,585,236958375.199,00:52:24
2,1,1,578,236958375.199,00:53:22
2,1,2,205,229494024.363,00:54:58
2,1,1,217,234045318.479,00:55:56
2,1,1,168,236750541.322,00:56:55
2,1,1,571,237068739.792,00:57:53
3,1,2,114,173482834.559,00:59:30
3,1,2,107,173486922.438,01:01:07
3,1,2,784,176181738.133,01:03:01
3,1,2,777,176175571.076,01:04:54
3,1,2,302,173435200.528,01:06:34
3,1,2,155,173454914.567,01:08:22
3,1,2,212,173682392.801,01:10:01
3,1,1,592,178424945.427,01:11:02
3,1,1,585,178448675.803,01:12:03
3,1,1,578,178448675.803,01:13:04
3,1,2,205,173618838.589,01:14:42
3,1,1,217,177983015.688,01:15:41
3,1,1,168,177922078.606,01:16:44
3,1,1,571,178353469.93,01:17:44
4,1,2,114,194307559.658,01:19:19
