scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,266,432702347.867,00:01:00
0,1,1,287,426616991.943,00:02:01
0,1,1,564,426409722.985,00:02:57
0,1,1,523,433215276.896,00:03:56
0,1,1,259,432782857.085,00:04:57
0,1,1,301,420388323.879,00:05:57
0,1,1,543,426459332.71,00:06:53
0,1,1,481,433662618.038,00:07:53
0,1,1,342,426466460.712,00:08:51
0,1,1,731,434073161.038,00:09:47
0,1,1,738,434073161.038,00:10:43
0,1,1,683,421268840.965,00:11:43
0,1,1,467,433709318.679,00:12:43
0,1,1,474,433674154.466,00:13:42
1,1,1,266,278160973.032,00:14:44
1,1,1,287,278468821.503,00:15:47
1,1,1,564,277990963.858,00:16:45
1,1,1,523,278100981.235,00:17:45
1,1,1,259,278266065.417,00:18:48
1,1,1,301,278111773.884,00:19:50
1,1,1,543,278111773.884,00:20:48
1,1,1,481,278761761.596,00:21:49
1,1,1,342,278111773.884,00:22:48
1,1,1,731,277876542.004,00:23:47
1,1,1,738,277876542.004,00:24:46
1,1,1,683,278761871.04,00:25:48
1,1,1,467,278807255.903,00:26:49
1,1,1,474,278807255.903,00:27:50
2,1,1,266,237952669.111,00:28:53
2,1,1,287,236147135.255,00:29:55
2,1,1,564,236977390.202,00:30:53
2,1,1,523,236128805.842,00:31:54
2,1,1,259,238006252.944,00:32:57
2,1,1,301,234893909.521,00:33:59
2,1,1,543,234893909.521,00:34:57
2,1,1,481,238197093.414,00:35:59
2,1,1,342,234893909.521,00:36:58
2,1,1,731,234893909.521,00:37:58
2,1,1,738,234893909.521,00:38:56
2,1,1,683,238197093.414,00:39:59
2,1,1,467,238275029.132,00:41:02
2,1,1,474,238275029.132,00:42:03
3,1,1,266,178808490.861,00:43:09
3,1,1,287,175135927.363,00:44:13
3,1,1,564,178210025.999,00:45:13
3,1,1,523,175135927.363,00:46:15
3,1,1,259,178845790.309,00:47:21
3,1,1,301,174793661.375,00:48:25
3,1,1,543,174793661.375,00:49:24
3,1,1,481,178897874.867,00:50:28
3,1,1,342,174793661.375,00:51:29
3,1,1,731,174793661.375,00:52:31
3,1,1,738,174793661.375,00:53:31
3,1,1,683,178897874.867,00:54:36
3,1,1,467,178959350.182,00:55:42
3,1,1,474,178959350.182,00:56:47
4,1,1,266,197739715.63,00:57:51
4,1,1,287,197214422.206,00:58:54
4,1,1,564,196772413.31,00:59:53
4,1,1,523,197214422.206,01:00:54
4,1,1,259,197738602.576,01:01:59
4,1,1,301,196770092.12,01:03:02
4,1,1,543,196770092.12,01:04:01
4,1,1,481,197760338.092,01:05:04
4,1,1,342,196770092.12,01:06:04
4,1,1,731,196770092.12,01:07:04
4,1,1,738,196770092.12,01:08:04
4,1,1,683,197760338.092,01:09:08
4,1,1,467,197849013.288,01:10:12
4,1,1,474,197849013.288,01:11:15
5,1,1,266,208863498.251,01:12:21
5,1,1,287,206421443.581,01:13:24
5,1,1,564,208370446.867,01:14:23
5,1,1,523,206271430.733,01:15:24
5,1,1,259,208855354.35,01:16:30
5,1,1,301,205818906.959,01:17:33
5,1,1,543,205818906.959,01:18:32
5,1,1,481,208982948.039,01:19:36
5,1,1,342,205818906.959,01:20:36
5,1,1,731,205654185.658,01:21:36
5,1,1,738,205654185.658,01:22:36
5,1,1,683,208982948.039,01:23:41
5,1,1,467,208943969.893,01:24:45
5,1,1,474,208943969.893,01:25:49
6,1,1,266,194732386.825,01:26:54
6,1,1,287,192551101.517,01:27:57
6,1,1,564,191204850.854,01:28:57
6,1,1,523,192551101.517,01:29:59
6,1,1,259,194756454.802,01:31:04
6,1,1,301,192418469.36,01:32:08
6,1,1,543,192418469.36,01:33:07
6,1,1,481,194711110.571,01:34:10
6,1,1,342,192418469.36,01:35:11
6,1,1,731,192418469.36,01:36:11
6,1,1,738,192418469.36,01:37:11
6,1,1,683,194711110.571,01:38:16
6,1,1,467,194679129.05,01:39:20
6,1,1,474,194679129.05,01:40:23
7,1,1,266,184187854.972,01:41:29
7,1,1,287,181486803.347,01:42:33
7,1,1,564,180867567.725,01:43:33
7,1,1,523,181486803.347,01:44:35
7,1,1,259,184122576.639,01:45:41
7,1,1,301,181729019.883,01:46:46
7,1,1,543,181729019.883,01:47:46
7,1,1,481,184179396.506,01:48:50
7,1,1,342,181729019.883,01:49:51
7,1,1,731,181729019.883,01:50:52
7,1,1,738,181729019.883,01:51:53
7,1,1,683,184175732.265,01:52:59
7,1,1,467,184324506.33,01:54:05
7,1,1,474,184324506.33,01:55:10
8,1,1,266,153468750.623,01:56:18
8,1,1,287,150627230.472,01:57:23
8,1,1,564,149115074.675,01:58:23
8,1,1,523,150624744.114,01:59:26
8,1,1,259,153421482.555,02:00:34
8,1,1,301,150672157.121,02:01:39
8,1,1,543,150621336.664,02:02:39
8,1,1,481,153161497.761,02:03:45
8,1,1,342,150614966.555,02:04:46
8,1,1,731,150614966.555,02:05:48
8,1,1,738,150574603.252,02:06:49
8,1,1,683,153140048.313,02:07:56
8,1,1,467,153124408.371,02:09:02
8,1,1,474,153108090.62,02:10:08
9,1,1,266,77130506.891,02:11:22
9,1,1,287,77636892.659,02:12:36
9,1,1,564,77256621.174,02:13:45
9,1,1,523,77524896.406,02:14:57
9,1,1,259,76925947.768,02:16:11
9,1,1,301,76740900.299,02:17:23
9,1,1,543,76744971.329,02:18:31
9,1,1,481,77002871.845,02:19:42
9,1,1,342,77571659.141,02:20:53
9,1,1,731,77608192.296,02:22:03
9,1,1,738,77442340.225,02:23:13
9,1,1,683,77076414.458,02:24:27
9,1,1,467,77169667.477,02:25:40
9,1,1,474,76931433.68,02:26:52
10,1,1,266,142783947.556,02:27:59
10,1,1,287,141304698.448,02:29:05
10,1,1,564,140215836.268,02:30:07
10,1,1,523,141296333.631,02:31:12
10,1,1,259,142739820.434,02:32:19
10,1,1,301,141014125.815,02:33:25
10,1,1,543,140977433.315,02:34:27
10,1,1,481,142512436.072,02:35:32
10,1,1,342,140962653.115,02:36:35
10,1,1,731,140962653.115,02:37:38
10,1,1,738,140851741.943,02:38:41
10,1,1,683,142473239.932,02:39:47
10,1,1,467,142524332.01,02:40:53
10,1,1,474,142502575.246,02:41:59
11,1,1,266,166624389.836,02:43:05
11,1,1,287,166084525.934,02:44:10
11,1,1,564,165350152.746,02:45:11
11,1,1,523,166081969.561,02:46:14
11,1,1,259,166620810.123,02:47:21
11,1,1,301,165823433.141,02:48:26
11,1,1,543,165823433.141,02:49:27
11,1,1,481,166437979.64,02:50:31
11,1,1,342,165817773.596,02:51:33
11,1,1,731,165817773.596,02:52:36
11,1,1,738,165809557.052,02:53:37
11,1,1,683,166426022.074,02:54:43
11,1,1,467,166489378.515,02:55:49
11,1,1,474,166483372.431,02:56:54
12,1,1,266,111004924.917,02:58:04
12,1,1,287,110669897.375,02:59:13
12,1,1,564,110601617.825,03:00:18
12,1,1,523,110626615.81,03:01:26
12,1,1,259,111189483.738,03:02:36
