scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,550,426439940.124,00:00:56
0,1,1,745,434042780.084,00:01:52
0,1,1,238,432977605.583,00:02:54
0,1,1,245,432977605.583,00:03:56
0,1,1,252,432977605.583,00:04:57
0,1,1,488,433820354.763,00:05:56
0,1,1,641,421677442.362,00:06:56
0,1,1,829,421677442.362,00:07:52
0,1,1,321,426581647.963,00:08:51
0,1,1,294,420482368.215,00:09:50
0,1,1,328,426581647.963,00:10:48
0,1,1,530,429767361.677,00:11:47
0,1,1,537,434236182.95,00:12:45
0,1,1,822,421693421.903,00:13:41
1,1,1,550,278111773.884,00:14:39
1,1,1,745,277755665.431,00:15:38
1,1,1,238,278387498.035,00:16:41
1,1,1,245,278387498.035,00:17:44
1,1,1,252,278387498.035,00:18:47
1,1,1,488,278184995.421,00:19:47
1,1,1,641,278775983.596,00:20:50
1,1,1,829,278775983.596,00:21:49
1,1,1,321,278387206.359,00:22:49
1,1,1,294,278387206.359,00:23:51
1,1,1,328,278387206.359,00:24:50
1,1,1,530,278327646.552,00:25:50
1,1,1,537,278106379.562,00:26:51
1,1,1,822,278766242.236,00:27:50
2,1,1,550,234635275.706,00:28:48
2,1,1,745,234464229.783,00:29:46
2,1,1,238,238369404.708,00:30:50
2,1,1,245,238369404.708,00:31:54
2,1,1,252,238369404.708,00:32:58
2,1,1,488,237962276.22,00:33:58
2,1,1,641,238432860.56,00:35:03
2,1,1,829,238432860.56,00:36:03
2,1,1,321,236062231.513,00:37:03
2,1,1,294,236062231.513,00:38:05
2,1,1,328,236062231.513,00:39:04
2,1,1,530,236062231.513,00:40:05
2,1,1,537,236062231.513,00:41:06
2,1,1,822,238279060.795,00:42:05
3,1,1,550,174426099.404,00:43:05
3,1,1,745,174497813.762,00:44:06
3,1,1,238,179525414.177,00:45:13
3,1,1,245,179525414.177,00:46:20
3,1,1,252,179525414.177,00:47:27
3,1,1,488,179458758.957,00:48:30
3,1,1,641,179406839.68,00:49:36
3,1,1,829,179406839.68,00:50:37
3,1,1,321,175249526.71,00:51:39
3,1,1,294,175249526.71,00:52:42
3,1,1,328,175249526.71,00:53:43
3,1,1,530,175249526.71,00:54:46
3,1,1,537,175249526.71,00:55:48
3,1,1,822,179359697.677,00:56:50
4,1,1,550,196755770.64,00:57:49
4,1,1,745,196738986.981,00:58:48
4,1,1,238,198107855.093,00:59:53
4,1,1,245,198107855.093,01:00:59
4,1,1,252,198107855.093,01:02:04
4,1,1,488,198019180.354,01:03:06
4,1,1,641,198045856.491,01:04:11
4,1,1,829,198045856.491,01:05:11
4,1,1,321,197228949.323,01:06:12
4,1,1,294,197228949.323,01:07:15
4,1,1,328,197228949.323,01:08:15
4,1,1,530,197228949.323,01:09:17
4,1,1,537,197228949.323,01:10:18
4,1,1,822,197904634.046,01:11:18
5,1,1,550,208690668.439,01:12:17
5,1,1,745,208457832.57,01:13:16
5,1,1,238,209155463.496,01:14:23
5,1,1,245,209155463.496,01:15:28
5,1,1,252,209155463.496,01:16:34
5,1,1,488,209201288.794,01:17:38
5,1,1,641,209174970.351,01:18:43
5,1,1,829,209174970.351,01:19:44
5,1,1,321,206423498.792,01:20:44
5,1,1,294,206423498.792,01:21:48
5,1,1,328,206423498.792,01:22:48
5,1,1,530,206281481.694,01:23:50
5,1,1,537,206281481.694,01:24:51
5,1,1,822,209191430.306,01:25:52
6,1,1,550,192543932.428,01:26:52
6,1,1,745,192567193.938,01:27:52
6,1,1,238,194785455.818,01:28:57
6,1,1,245,194785455.818,01:30:03
6,1,1,252,194785455.818,01:31:08
6,1,1,488,194712979.099,01:32:11
6,1,1,641,194580293.376,01:33:15
6,1,1,829,194580293.376,01:34:15
6,1,1,321,192535674.944,01:35:17
6,1,1,294,192535674.944,01:36:20
6,1,1,328,192535674.944,01:37:21
6,1,1,530,192535674.944,01:38:23
6,1,1,537,192535674.944,01:39:25
6,1,1,822,194555558.173,01:40:25
7,1,1,550,180900669.986,01:41:25
7,1,1,745,180858560.387,01:42:26
7,1,1,238,184396495.019,01:43:33
7,1,1,245,184396495.019,01:44:41
7,1,1,252,184396495.019,01:45:48
7,1,1,488,184218104.874,01:46:52
7,1,1,641,184378565.164,01:47:59
7,1,1,829,184378565.164,01:49:01
7,1,1,321,181580831.664,01:50:03
7,1,1,294,181580831.664,01:51:07
7,1,1,328,181580831.664,01:52:08
7,1,1,530,181580831.664,01:53:11
7,1,1,537,181580831.664,01:54:14
