scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,453,425590698.972,00:00:54
0,1,2,190,399776650.813,00:02:39
0,1,2,232,399611514.758,00:04:15
0,1,1,404,426207536.918,00:05:10
0,1,1,480,420761420.973,00:06:11
0,1,1,675,425575240.67,00:07:03
0,1,1,224,432812851.232,00:07:58
0,1,1,265,419326712.79,00:08:50
0,1,1,752,434304190.514,00:09:47
0,1,2,156,398645415.816,00:11:21
0,1,2,162,399610031.277,00:13:05
0,1,2,176,399610031.277,00:14:50
0,1,2,183,399610031.277,00:16:34
0,1,2,163,398655623.696,00:18:08
1,1,1,453,276737120.812,00:19:04
1,1,2,190,268332280.701,00:20:52
1,1,2,232,268601188.71,00:22:29
1,1,1,404,277353657.153,00:23:26
1,1,1,480,276846506.411,00:24:28
1,1,1,675,276590887.59,00:25:22
1,1,1,224,276451955.016,00:26:19
1,1,1,265,276465803.232,00:27:13
1,1,1,752,277907514.411,00:28:13
1,1,2,156,267507658.691,00:29:49
1,1,2,162,266566547.127,00:31:35
1,1,2,176,266566547.127,00:33:21
1,1,2,183,266566547.127,00:35:07
1,1,2,163,267487676.455,00:36:43
2,1,1,453,234868398.403,00:37:40
2,1,2,190,228994418.716,00:39:27
2,1,2,232,228906259.3,00:41:03
2,1,1,404,236418229.004,00:42:01
2,1,1,480,233627648.497,00:43:03
2,1,1,675,233425226.223,00:43:57
2,1,1,224,233318729.887,00:44:54
2,1,1,265,233239937.612,00:45:49
2,1,1,752,236718242.186,00:46:49
2,1,2,156,232974708.636,00:48:26
2,1,2,162,232804054.416,00:50:12
2,1,2,176,232804054.416,00:51:58
2,1,2,183,232804054.416,00:53:45
2,1,2,163,232746470.232,00:55:22
3,1,1,453,174281798.639,00:56:19
3,1,2,190,173192201.777,00:58:08
3,1,2,232,173523023.856,00:59:45
3,1,1,404,177697571.645,01:00:45
3,1,1,480,173786107.803,01:01:49
3,1,1,675,173849548.767,01:02:48
3,1,1,224,177674079.166,01:03:48
3,1,1,265,177657615.565,01:04:45
3,1,1,752,177693351.181,01:05:47
3,1,2,156,173814970.704,01:07:25
3,1,2,162,173192201.777,01:09:12
3,1,2,176,173192201.777,01:10:59
3,1,2,183,173192201.777,01:12:46
3,1,2,163,173751930.057,01:14:24
4,1,1,453,196618182.342,01:15:21
4,1,2,190,194096418.884,01:17:09
4,1,2,232,194742991.77,01:18:46
4,1,1,404,196508536.319,01:19:44
4,1,1,480,195969546.599,01:20:48
4,1,1,675,195925209.345,01:21:44
4,1,1,224,195564614.512,01:22:43
4,1,1,265,195489554.779,01:23:39
4,1,1,752,196335749.45,01:24:40
4,1,2,156,195729628.555,01:26:16
4,1,2,162,194370586.35,01:28:01
4,1,2,176,194370586.35,01:29:47
4,1,2,183,194370586.35,01:31:33
4,1,2,163,195472571.169,01:33:09
5,1,1,453,205687222.021,01:34:07
5,1,2,190,200570372.726,01:35:54
5,1,2,232,200753402.606,01:37:32
5,1,1,404,208464264.029,01:38:31
5,1,1,480,207857075.331,01:39:35
5,1,1,675,207877684.35,01:40:31
5,1,1,224,207723469.353,01:41:29
5,1,1,265,207735855.492,01:42:25
5,1,1,752,208183558.426,01:43:26
5,1,2,156,200156400.759,01:45:03
5,1,2,162,199739283.98,01:46:49
5,1,2,176,199739283.98,01:48:35
5,1,2,183,199739283.98,01:50:21
5,1,2,163,200237001.593,01:51:57
6,1,1,453,191596643.491,01:52:55
6,1,2,190,187853391.117,01:54:44
6,1,2,232,189859818.051,01:56:21
6,1,1,404,193468573.26,01:57:21
6,1,1,480,191356240.321,01:58:25
6,1,1,675,191362330.534,01:59:22
6,1,1,224,191275288.014,02:00:21
6,1,1,265,191304719.535,02:01:18
6,1,1,752,193312984.6,02:02:19
6,1,2,156,189878640.562,02:03:56
